month,location_city,location_region,location_country,total_visitors,total_sessions,total_orders_placed,total_pageviews
2020-07,,,,0,0,0,0
2020-08,,,,0,0,0,0
2020-09,Ciudad Fernandez,San Luis Potosí,Mexico,1,1,0,1
2020-09,Irapuato,Guanajuato,Mexico,11,12,0,33
2020-09,Cardenas,Tabasco,Mexico,1,1,0,5
2020-09,Claremont,North Carolina,United States,1,1,0,1
2020-09,Seattle,Washington,United States,3,3,0,3
2020-09,Celaya,Guanajuato,Mexico,13,13,0,26
2020-09,Ecatepec de Morelos,Estado de Mexico,Mexico,6,6,0,15
2020-09,Huejutla de Reyes,Hidalgo,Mexico,1,1,0,1
2020-09,Monclova,Coahuila,Mexico,25,26,0,58
2020-09,Linares,Nuevo León,Mexico,2,2,0,11
2020-09,Ixtapaluca,Estado de Mexico,Mexico,4,6,0,50
2020-09,Guadalajara,Jalisco,Mexico,195,206,0,538
2020-09,Piedras Negras,Coahuila,Mexico,9,9,0,10
2020-09,Cuautla,Morelos,Mexico,1,1,0,1
2020-09,Huejotzingo,Puebla,Mexico,1,1,0,1
2020-09,Chignahuapan,Puebla,Mexico,1,1,0,8
2020-09,General Escobedo,Nuevo León,Mexico,3,4,0,5
2020-09,Cuautitlán Izcalli,Estado de Mexico,Mexico,2,3,0,7
2020-09,Ciudad Obregón,Sonora,Mexico,15,15,0,32
2020-09,Tlalnepantla,Estado de Mexico,Mexico,4,5,0,31
2020-09,Houston,Texas,United States,1,2,0,2
2020-09,Mountain View,California,United States,14,14,0,14
2020-09,Perote,Veracruz,Mexico,1,1,0,1
2020-09,Morelia,Michoacán,Mexico,2,2,0,7
2020-09,Instituto de Seguridad Social del Estado de Mexico y Municipios,Estado de Mexico,Mexico,7,7,0,9
2020-09,Silao,Guanajuato,Mexico,2,2,0,13
2020-09,Tonala,Jalisco,Mexico,5,5,0,8
2020-09,El Paso,Veracruz,Mexico,1,1,0,1
2020-09,Teocuitatlan de Corona,Jalisco,Mexico,1,1,0,3
2020-09,Cienega de Flores,Nuevo León,Mexico,2,2,0,6
2020-09,Reynosa,Tamaulipas,Mexico,6,6,0,7
2020-09,Tula de Allende,Hidalgo,Mexico,2,2,0,3
2020-09,Villa de Reyes,San Luis Potosí,Mexico,2,2,0,2
2020-09,Nuevo Laredo,Tamaulipas,Mexico,1,1,0,1
2020-09,Acatlan de Juarez,Jalisco,Mexico,2,3,0,8
2020-09,Navojoa,Sonora,Mexico,2,2,0,2
2020-09,Gustavo Adolfo Madero,Mexico City,Mexico,2,2,0,2
